EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-16 02:00:00,2024-02-16 03:00:00,1,2223,2209,107.575,-1506.04,2
2024-02-16 04:00:00,2024-02-16 05:00:00,1,2217,2216,125.38,-125.38,2
2024-02-16 06:00:00,2024-02-16 08:30:00,1,2217,2225.5,179.091,1522.28,4
2024-02-16 09:30:00,2024-02-16 10:00:00,-1,2211.25,2211,144.048,36.0121,1
2024-02-16 10:30:00,2024-02-18 20:00:00,-1,2213.25,2218.5,140.351,-736.842,8
2024-02-18 21:00:00,2024-02-19 07:00:00,-1,2211.25,2204.25,183.397,1283.78,11
2024-02-19 07:30:00,2024-02-20 06:30:00,-1,2201.5,2170,254.966,8031.42,24
2024-02-20 08:00:00,2024-02-20 08:30:00,-1,2177.5,2184.75,191.531,-1388.6,1
2024-02-20 09:30:00,2024-02-20 11:00:00,-1,2176.75,2183.75,139.415,-975.905,3
2024-02-20 14:30:00,2024-02-20 22:30:00,1,2208,2237,121.775,3531.47,6
2024-02-21 00:30:00,2024-02-21 05:30:00,1,2231.25,2232.5,78.1264,97.658,10
2024-02-21 21:30:00,2024-02-22 01:30:00,-1,2201,2211.25,152.598,-1564.13,6
2024-02-22 03:30:00,2024-02-22 04:00:00,-1,2205,2207,147.471,-294.942,1
2024-02-22 04:30:00,2024-02-22 20:30:00,-1,2203.25,2191,158.121,1936.98,17
2024-02-23 03:00:00,2024-02-23 08:30:00,-1,2182.5,2185.75,187.845,-610.497,9
2024-02-23 09:00:00,2024-02-25 22:00:00,-1,2171.25,2169.25,85.8572,171.714,13
2024-02-26 01:00:00,2024-02-26 05:00:00,-1,2170.25,2170.25,210.211,0,5
2024-02-26 10:30:00,2024-02-26 12:00:00,-1,2166,2169.75,166.518,-624.443,3
2024-02-26 13:00:00,2024-02-26 20:00:00,-1,2168.5,2175,231.58,-1505.27,2
2024-02-26 21:30:00,2024-02-26 23:00:00,1,2173.5,2170.5,147.41,-442.23,2
2024-02-27 00:30:00,2024-02-27 08:00:00,1,2171.75,2172.75,267.472,267.472,11
2024-02-27 11:30:00,2024-02-27 12:00:00,1,2175.5,2163.5,165.146,-1981.75,1
2024-02-27 13:00:00,2024-02-27 20:00:00,1,2180.75,2164,93.2108,-1561.28,1
2024-02-28 04:00:00,2024-02-28 11:00:00,-1,2162.5,2168.25,87.8757,-505.285,10
2024-02-29 02:00:00,2024-02-29 02:30:00,1,2180,2185.25,73.1679,384.131,1
2024-02-29 05:30:00,2024-02-29 08:30:00,1,2181.75,2192.5,87.1778,937.161,6
2024-03-01 01:00:00,2024-03-01 01:30:00,1,2196.25,2194,94.5965,-212.842,1
2024-03-01 05:30:00,2024-03-01 08:30:00,1,2198,2196.5,64.5158,-96.7736,6
2024-03-01 09:30:00,2024-03-01 11:00:00,1,2203.25,2220.75,64.4517,1127.9,3
2024-03-01 16:30:00,2024-03-03 20:00:00,1,2210,2207.25,100.09,-275.247,1
2024-03-04 01:30:00,2024-03-04 05:00:00,1,2208.75,2212,253.99,825.467,5
2024-03-04 11:00:00,2024-03-04 21:00:00,1,2211.5,2207,142.34,-640.531,7
2024-03-05 01:30:00,2024-03-05 04:00:00,-1,2203.5,2205.25,275.379,-481.913,5
2024-03-05 12:30:00,2024-03-05 13:30:00,1,2218.25,2204.75,37.8503,-510.98,1
2024-03-05 20:00:00,2024-03-05 20:30:00,1,2214.5,2198,49.4184,-815.404,1
2024-03-05 21:00:00,2024-03-06 02:00:00,-1,2198,2207.5,68.5064,-650.811,9
2024-03-06 03:00:00,2024-03-06 03:30:00,-1,2203,2208.75,288.79,-1660.54,1
2024-03-06 04:30:00,2024-03-06 05:00:00,1,2210.5,2210,159.616,-79.8081,1
2024-03-06 11:30:00,2024-03-06 12:00:00,1,2212.75,2212,59.3544,-44.5158,1
2024-03-06 20:00:00,2024-03-06 21:30:00,1,2213,2211,52.8407,-105.681,3
2024-03-06 23:00:00,2024-03-07 00:00:00,-1,2209.25,2212.25,81.0238,-243.071,1
2024-03-07 01:00:00,2024-03-07 01:30:00,-1,2212.5,2212.75,61.8811,-15.4703,1
2024-03-07 02:00:00,2024-03-07 03:00:00,1,2214.75,2224.5,61.4226,598.871,2
2024-03-07 03:30:00,2024-03-07 04:30:00,1,2221.5,2229.25,37.2451,288.65,2
2024-03-07 09:00:00,2024-03-07 10:30:00,1,2228.5,2251.25,33.5287,762.778,3
2024-03-07 11:00:00,2024-03-07 12:00:00,1,2231.75,2245.5,30.43,418.412,2
2024-03-07 20:00:00,2024-03-07 20:30:00,1,2236.25,2232.5,34.0517,-127.694,1
2024-03-08 02:30:00,2024-03-08 07:30:00,1,2235.25,2236,109.165,81.8734,10
